"","id","x","y"
"1",1,-125.345830290869,-150.414996355772
"2",2,-75.2074981430196,-150.414996366948
"3",3,-25.0691660296288,-150.414996365085
"4",4,25.0691660615848,-150.41499636136
"5",5,75.2074982186314,-150.414996357635
"6",6,125.345830299135,-150.414996359497
"7",7,175.484162467474,-150.41499636136
"8",8,-125.345830259903,-100.276664244011
"9",9,-75.2074981707265,-100.276664242148
"10",10,-25.0691660429584,-100.276664233766
"11",11,25.0691660626908,-100.276664237492
"12",12,75.2074982290505,-100.27666423656
"13",13,125.345830323233,-100.276664233766
"14",14,175.484162424982,-100.276664241217
"15",15,-125.345830259554,-50.1383321229368
"16",16,-75.207498163858,-50.1383321201429
"17",17,-25.0691660332377,-50.1383321164176
"18",18,25.0691660759621,-50.1383321182802
"19",19,75.2074981696787,-50.1383321164176
"20",20,125.345830335165,-50.1383321201429
"21",21,175.484162436391,-50.1383321173489
"22",22,-125.345830284467,8.38190317153931e-09
"23",23,-75.2074981954065,8.38190317153931e-09
"24",24,-25.0691660710727,7.45058059692383e-09
"25",25,25.0691661014571,6.51925802230835e-09
"26",26,75.2074981859769,6.51925802230835e-09
"27",27,125.345830339182,8.38190317153931e-09
"28",28,175.484162426146,2.79396772384644e-09
"29",29,225.622494531854,1.21071934700012e-08
"30",30,-125.345830260951,50.1383321341127
"31",31,-75.2074981877231,50.1383321341127
"32",32,-25.0691660099546,50.1383321257308
"33",33,25.0691660693265,50.1383321285248
"34",34,-175.48416242766,100.276664251462
"35",35,-125.345830260718,100.276664246805
"36",36,-225.622494531854,150.414996367879
