AnimalID 1,ET1,ET2,ET3,MRID,Sex,MR22f,MR22w,S22,MR23,S23,MR24,S24,MR25,Notes,,,,,,,,,,,,
3A-23-M20,528,,,,M,,,,,3A,,,,,,,,,,,,,,,,
3A-24-F1,1217,,,1217,F,,,,,,3A,,,,,,,,,,,,,,,
3A-24-F2,1218,,,1218,F,,,,,,3A,,,,,,,,,,,,,,,
3A-24-F3,1268,,,1268,F,,,,,,3A,3A,,,,,,,,,,,,,,
3A-24-F4,1219,,,1219,F,,,,,,3A,,,,,,,,,,,,,,,
3A-24-F5,1269,,,1269,F,,,,,,3A,,,,,,,,,,,,,,,
3A-24-F6,3A-Black Left,,,3A-Black Left,F,,,,,,3A,,,,,,,,,,,,,,,
3A-24-F7,1633,,,,F,,,,,,,3A,,,,,,,,,,,,,,
3A-24-F8,1650,,,,F,,,,,,,3A,,,,,,,,,,,,,,
3A-24-F9,1620,,,1620,F,,,,,,,3A,3A,,,,,,,,,,,,,
3A-24-M1,1267,,,1267,M,,,,,,3A,,,,,,,,,,,,,,,
3A-24-M2,1220,,,1220,M,,,,,,3A,,,,,,,,,,,,,,,
3A-24-M3,3A-Red Right,,,3A-Red Right,M,,,,,,3A,,,,,,,,,,,,,,,
3A-24-M7,3A-24-M7,,,3A-24-M7,M,,,,,,3A,,,,,,,,,,,,,,,
3A-24-M8,1221,,,1221,M,,,,,,3A,,,,,,,,,,,,,,,
3A-24-M9,1222,,,1222,M,,,,,,3A,,,,,,,,,,,,,,,
3A-24-M10,1634,,,,M,,,,,,,3A,,,,,,,,,,,,,,
3A-24-U1,3A-Red Left,,,3A-Red Left,U,,,,,,3A,,,,,,,,,,,,,,,
3A-24-U3,1280,,,1280,U,,,,,,3A,,,,,,,,,,,,,,,
3A-25-F1,1401,,,1401,F,,,,,,,,3A,,,,,,,,,,,,,
3A-25-F2,619,,,619,F,,,,,,,,3A,,,,,,,,,,,,,
3A-25-M1,1402,,,1402,M,,,,,,,,3A,,,,,,,,,,,,,
3A-25-M2,1403,,,1403,M,,,,,,,,3A,,,,,,,,,,,,,
3A-25-M3,617,,,617,M,,,,,,,,3A,,,,,,,,,,,,,
3A-25-M4,618,,,618,M,,,,,,,,3A,,,,,,,,,,,,,
3B-22-F1,395,299,,395 / 299,F,3B,,,3B,,,,,,,,,,,,,,,,,
3B-22-F2,396,,,396,F,3B,,3B,3B,,,,,,,,,,,,,,,,,
3B-22-F3,433,,,,F,3B,,,,,,,,,,,,,,,,,,,,
3B-22-F4,434,,,434,F,3B,3B,3B,,,,,,,,,,,,,,,,,,
3B-22-F5,435,,,435,F,3B,3B,,,,,,,,,,,,,,,,,,,
3B-22-F6,399,1063,,399 / 1063,F,3B,,,3B,3B,3B,,,,,,,,,,,,,,,
3B-22-F7,1578,,,,F,3B,,,,,,,,,,,,,,,,,,,,
3B-22-F8,437,,,,F,3B,,,,,,,,,,,,,,,,,,,,
3B-22-F9,440,,,440,F,3B,3B,,,,,,,,,,,,,,,,,,,
3B-22-F10,1582,,,1582,F,,3B,,,,,,,,,,,,,,,,,,,
3B-22-F11,1583,,,1583,F,,3B,,,,,,,,,,,,,,,,,,,
3B-22-F12,1584,,,1584,F,,3B,,,,,,,,,,,,,,,,,,,
3B-22-F13,443,,,443,F,,3B,,,,,,,,,,,,,,,,,,,
3B-22-F14,447,,,447,F,,3B,,3B,,,,,,,,,,,,,,,,,
3B-22-F15,408,,,408,F,,3B,,,,,,,,,,,,,,,,,,,
3B-22-F16,414,,,414,F,,3B,,,,,,,,,,,,,,,,,,,
3B-22-F17,415,,,415,F,,3B,,3B,,,,,,,,,,,,,,,,,
3B-22-M1,392,,,,M,3B,,,,,,,,,,,,,,,,,,,,
3B-22-M2,393,,,393,M,3B,3B,3B,3B,,,,,,,,,,,,,,,,,
3B-22-M3,394,,,,M,3B,,,,,,,,,,,,,,,,,,,,
3B-22-M4,397,,,,M,3B,,,,,,,,,,,,,,,,,,,,
3B-22-M5,1579,,,1579,M,3B,,,3B,,,,,,,,,,,,,,,,,
3B-22-M6,438,,,,M,3B,,,,,,,,,,,,,,,,,,,,
3B-22-M7,439,,,,M,3B,,3B,,,,,,,,,,,,,,,,,,
3B-22-M8,404,,,404,M,,3B,,,,,,,,,,,,,,,,,,,
3B-22-M9,444,,,444,M,,3B,,,,,,,,,,,,,,,,,,,
3B-22-M10,446,,,446,M,,3B,3B,3B,,,,,,,,,,,,,,,,,
3B-22-M11,1585,,,1585,M,,3B,,,,,,,,,,,,,,,,,,,
3B-22-M12,405,,,405,M,,3B,,3B,,3B,,,,,,,,,,,,,,,
3B-22-M13,406,,,406,M,,3B,,,,,,,,,,,,,,,,,,,
3B-22-M14,407,,,407,M,,3B,,,,,,,,,,,,,,,,,,,
3B-22-M15,344,,,344,M,,3B,,,,,,,,,,,,,,,,,,,
3B-22-M16,410,,,410,M,,3B,,3A,,,,,Trapped in 3A MR23,,,,,,,,,,,,
3B-22-M17,409,,,409,M,,3B,,,,,,,,,,,,,,,,,,,
3B-22-M18,411,,,411,M,,3B,,,,,,,,,,,,,,,,,,,
3B-22-M19,412,,,412,M,,3B,,,,,,,,,,,,,,,,,,,
3B-22-M20,413,,,413,M,,3B,,3B,,,,,,,,,,,,,,,,,
3B-22-M21,923,,,,M,,,3B,,,,,,,,,,,,,,,,,,
3B-22-M22,976,,,976,M,,,3B,3B,3B,,,,,,,,,,,,,,,,
3B-23-F1,1732,,,1732,F,,,,3B,3B,,,,,,,,,,,,,,,,
3B-23-F2,1016,,,1016,F,,,,3B,,,,,,,,,,,,,,,,,
3B-23-F3,1735,,,1735,F,,,,3B,,,,,,,,,,,,,,,,,
3B-23-F4,1017,,,1017,F,,,,3B,,,,,,,,,,,,,,,,,
3B-23-F5,1019,,,1019,F,,,,3B,,,,,,,,,,,,,,,,,
3B-23-F6,1738,,,1738,F,,,,3B,3B,,,,,,,,,,,,,,,,
3B-23-F7,1739,,,1739,F,,,,3B,,3B,3B,,,,,,,,,,,,,,
3B-23-F8,1022,,,1022,F,,,,3B,,,,,,,,,,,,,,,,,
3B-23-F9,1024,,,1024,F,,,,3B,,,,,,,,,,,,,,,,,
3B-23-F10,3B-Blue 2,,,3B-Blue 2,F,,,,3B,,,,,,,,,,,,,,,,,
3B-23-F11,1025,,,1025,F,,,,3B,,,,,,,,,,,,,,,,,
3B-23-M1,1731,,,1731,M,,,,3B,,,,,,,,,,,,,,,,,
3B-23-M2,1014,,,1014,M,,,,3B,,,,,,,,,,,,,,,,,
3B-23-M3,1733,,,1733,M,,,,3B,,,,,Recap with missing ear tag. ,,,,,,,,,,,,
3B-23-M4,1734,,,1734,M,,,,3B,3A,,,,Spot trapped in 3A,,,,,,,,,,,,
3B-23-M5,1015,,,1015,M,,,,3B,,,,,,,,,,,,,,,,,
3B-23-M6,1736,,,1736,M,,,,3B,,,,,,,,,,,,,,,,,
3B-23-M7,1018,,,1018,M,,,,3B,,,,,,,,,,,,,,,,,
3B-23-M8,1737,,,1737,M,,,,3B,3B,,,,,,,,,,,,,,,,
3B-23-M9,1020,1436,,1020 / 1436,M,,,,3B,3B,3B,,3B,,,,,,,,,,,,,
3B-23-M10,1021,,,1021,M,,,,3B,,,,,,,,,,,,,,,,,
3B-23-M11,1023,,,1023,M,,,,3B,,,,,,,,,,,,,,,,,
3B-23-M12,1717,,,1717,M,,,,3B,,3B,,,,,,,,,,,,,,,
3B-23-M13,857,,,,M,,,,,3B,,,,,,,,,,,,,,,,
3B-23-U1,3B-Blue 1,,,3B-Blue 1,U,,,,3B,,,,,,,,,,,,,,,,,
3B-23-U2,3B-Blue 3,,,3B-Blue 3,U,,,,3B,,,,,,,,,,,,,,,,,
3B-24-F1,1212,,,1212,F,,,,,,3B,,,,,,,,,,,,,,,
3B-24-F2,1215,,,1215,F,,,,,,3B,,,,,,,,,,,,,,,
3B-24-F3,1213,,,1213,F,,,,,,3B,3B,,,,,,,,,,,,,,
3B-24-F4,1755,,,1755,F,,,,,,3B,,,,,,,,,,,,,,,
3B-24-F5,3B-Black A,,,,F,,,,,,,3B,,,,,,,,,,,,,,
3B-24-F6,3B-Black B,,,,F,,,,,,,3B,,,,,,,,,,,,,,
3B-24-F7,1616,,,,F,,,,,,,3B,,,,,,,,,,,,,,
3B-24-F8,1618,,,1618,F,,,,,,,3B,3B,,,,,,,,,,,,,
3B-24-M1,1265,1274,,1265 / 1274,M,,,,,,3B,,,,,,,,,,,,,,,
3B-24-M2,872,,,872,M,,,,,,3B,,,,,,,,,,,,,,,
3B-24-M3,859,,,859,M,,,,,,3B,,,,,,,,,,,,,,,
3B-24-M4,1216,,,1216,M,,,,,,3B,,,,,,,,,,,,,,,
3B-24-M5,1266,1413,,1266 / 1413,M,,,,,,3B,3B,3B,,,,,,,,,,,,,
3B-24-M6,1214,,,1214,M,,,,,,3B,,,,,,,,,,,,,,,
3B-24-M7,847,,,847,M,,,,,,3B,,,,,,,,,,,,,,,
3B-24-M8,1751,,,1751,M,,,,,,3B,,,,,,,,,,,,,,,
3B-24-M9,1752,,,1752,M,,,,,,3B,,,,,,,,,,,,,,,
3B-24-M10,1753,,,1753,M,,,,,,3B,3B,,,,,,,,,,,,,,
3B-24-M11,1754,,,1754,M,,,,,,3B,3A/3B,,Spot trapped in 3A,,,,,,,,,,,,
3B-24-M12,1276,,,1276,M,,,,,,3B,,,,,,,,,,,,,,,
3B-24-M13,1277,,,1277,M,,,,,,3B,,,,,,,,,,,,,,,
3B-24-M14,1278,,,1278,M,,,,,,3B,,,,,,,,,,,,,,,
3B-24-M15,3B-24-M15,,,3B-24-M15,M,,,,,,3B,,,,,,,,,,,,,,,
3B-24-M16,1756,,,1756,M,,,,,,3B,,,,,,,,,,,,,,,
3B-24-M17,1757,,,1757,M,,,,,,3B,,,,,,,,,,,,,,,
3B-24-M18,1758,,,1758,M,,,,,,3B,,,,,,,,,,,,,,,
3B-24-M19,1279,,,1279,M,,,,,,3B,,,,,,,,,,,,,,,
3B-24-M20,1281,,,1281,M,,,,,,3B,3B,,,,,,,,,,,,,,
3B-24-M21,1617,,,,M,,,,,,,3B,,,,,,,,,,,,,,
3B-24-M22,1619,1440,,1619 / 1440,M,,,,,,,3B,3B,,,,,,,,,,,,,
3B-25-F1,1431,,,1431,F,,,,,,,,3B,,,,,,,,,,,,,
3B-25-F2,1432,,,1432,F,,,,,,,,3B,,,,,,,,,,,,,
3B-25-F3,1439,,,1439,F,,,,,,,,3B,,,,,,,,,,,,,
3B-25-M1,1404,,,1404,M,,,,,,,,3B,,,,,,,,,,,,,
3B-25-M2,1405,,,1405,M,,,,,,,,3B,,,,,,,,,,,,,
3B-25-M3,1433,,,1433,M,,,,,,,,3B,,,,,,,,,,,,,
3B-25-M4,1407,,,1407,M,,,,,,,,3B,,,,,,,,,,,,,
3B-25-M5,1408,,,1408,M,,,,,,,,3B,,,,,,,,,,,,,
3B-25-M6,1409,,,1409,M,,,,,,,,3B,,,,,,,,,,,,,
3B-25-M7,1410,,,1410,M,,,,,,,,3B/3C,Dispersed to 3C,,,,,,,,,,,,
3B-25-M8,1434,,,1434,M,,,,,,,,3B,,,,,,,,,,,,,
3B-25-M9,1411,,,1411,M,,,,,,,,3B,,,,,,,,,,,,,
3B-25-M10,1435,,,1435,M,,,,,,,,3B,,,,,,,,,,,,,
3B-25-M11,1412,,,1412,M,,,,,,,,3B,,,,,,,,,,,,,
3B-25-M12,1437,,,1437,M,,,,,,,,3B,,,,,,,,,,,,,
3B-25-M13,1438,,,1438,M,,,,,,,,3B,,,,,,,,,,,,,
3B-25-M15,620,,,620,M,,,,,,,,3B,,,,,,,,,,,,,
3B-25-U1,3B-25-U1,,,3B-25-U1,U,,,,,,,,3B,,,,,,,,,,,,,
3C-22-F1,1866,,,1866,F,3C,,,,,,,,,,,,,,,,,,,,
3C-22-F2,1867,,,1867,F,3C,,,,,,,,,,,,,,,,,,,,
3C-22-F3,91,,,91,F,3C,,,,,,,,,,,,,,,,,,,,
3C-22-F4,92,,,92,F,3C,,,,,,,,,,,,,,,,,,,,
3C-22-F5,1577,,,1577,F,3C,,,,,,,,,,,,,,,,,,,,
3C-22-F6,289,,,289,F,3C,,,3C,3C,,,,,,,,,,,,,,,,
3C-22-F7,294,,,294,F,3C,,,,,,,,,,,,,,,,,,,,
3C-22-F8,296,,,296,F,3C,,,,,,,,,,,,,,,,,,,,
3C-22-F9,388,,,388,F,3C,,,,,,,,,,,,,,,,,,,,
3C-22-F10,944,,,,F,,,3C,,,,,,,,,,,,,,,,,,
3C-22-F11,924,,,,F,,,3C,,,,,,,,,,,,,,,,,,
3C-22-F12,977,,,,F,,,3C,,,,,,,,,,,,,,,,,,
3C-22-M1,1893,,,1893,M,3C,,,,,,,,,,,,,,,,,,,,
3C-22-M2,1843,,,1843,M,3C,,,,,,,,,,,,,,,,,,,,
3C-22-M3,1844,,,1844,M,3C,,,,,,,,,,,,,,,,,,,,
3C-22-M4,1824,,,1824,M,3C,,,,,,,,,,,,,,,,,,,,
3C-22-M5,1868,,,1868,M,3C,,,,,,,,,,,,,,,,,,,,
3C-22-M6,428,,,428,M,3C,,,,,,,,,,,,,,,,,,,,
3C-22-M7,429,1604,,429 / 1604,M,3C,,3C,,,3C,,3C,,,,,,,,,,,,,
3C-22-M8,290,,,290,M,3C,,,,,,,,,,,,,,,,,,,,
3C-22-M9,291,,,291,M,3C,,,,,,,,,,,,,,,,,,,,
3C-22-M10,1873,,,1873,M,3C,,,,,,,,,,,,,,,,,,,,
3C-22-M11,1874,,,1874,M,3C,,,,,,,,,,,,,,,,,,,,
3C-22-M12,297,,,297,M,3C,,,,,,,,,,,,,,,,,,,,
3C-22-M13,401,,,401,M,3C,,,,,,,,,,,,,,,,,,,,
3C-22-M14,955,,,,M,,,3C,,,,,,,,,,,,,,,,,,
3C-22-M15,1900,,,,M,,,3C,,,,,,,,,,,,,,,,,,
3C-22-M16,445,,,445,M,,,3C,3C,3C,,,,,,,,,,,,,,,,
3C-22-M17,945,,,,M,,,3C,,,,,,,,,,,,,,,,,,
3C-23-F1,830,,,830,F,,,,3C,,,,,,,,,,,,,,,,,
3C-23-F2,806,3C-Black X,,806 / 3C-Black X,F,,,,3C,,,,,,,,,,,,,,,,,
3C-23-F3,833,,,833,F,,,,3C,,3C,,,,,,,,,,,,,,,
3C-23-F4,529,,,529,F,,,,3C,3C,,,,,,,,,,,,,,,,
3C-23-F5,808,,,808,F,,,,3C,,,,,,,,,,,,,,,,,
3C-23-F6,810,,,810,F,,,,3C,,,,,,,,,,,,,,,,,
3C-23-F7,531,,,531,F,,,,3C,,,,,,,,,,,,,,,,,
3C-23-F8,809,,,809,F,,,,3C,,,,,,,,,,,,,,,,,
3C-23-F9,1067,,,1067,F,,,,3C,3C,,,,,,,,,,,,,,,,
3C-23-M1,805,,,805,M,,,,3C,,,,,,,,,,,,,,,,,
3C-23-M2,831,,,831,M,,,,3C,,,,,,,,,,,,,,,,,
3C-23-M2,831,,,831,M,,,,3C,,,,,,,,,,,,,,,,,
3C-23-M3,807,,,807,M,,,,3C,,,,,,,,,,,,,,,,,
3C-23-M4,832,,,832,M,,,,3C,3C,,,,,,,,,,,,,,,,
3C-23-M5,576,,,576,M,,,,3C,,,,,,,,,,,,,,,,,
3C-23-M6,510,,,,M,,,,,3C,,,,,,,,,,,,,,,,
3C-23-M7,511,,,,M,,,,,3C,,,,,,,,,,,,,,,,
3C-23-M8,513,,,,M,,,,,3C,,,,,,,,,,,,,,,,
3C-23-M9,1251,,,,M,,,,,3C,,,,,,,,,,,,,,,,
3C-24-F1,1627,,,1627,F,,,,,,3C,,3C,,,,,,,,,,,,,
3C-24-F2,1629,,,1629,F,,,,,,3C,,,,,,,,,,,,,,,
3C-24-F3,1630,,,1630,F,,,,,,3C,,3C,,,,,,,,,,,,,
3C-24-F4,1603,,,1603,F,,,,,,3C,3C,,,,,,,,,,,,,,
3C-24-F5,1605,,,1605,F,,,,,,3C,,,,,,,,,,,,,,,
3C-24-F6,1631,,,1631,F,,,,,,3C,,,,,,,,,,,,,,,
3C-24-M1,1626,,,1626,M,,,,,,3C,,,,,,,,,,,,,,,
3C-24-M2,1628,,,1628,M,,,,,,3C,,,,,,,,,,,,,,,
3C-24-M3,1635,,,,M,,,,,,,3C,,,,,,,,,,,,,,
3C-25-F1,630,,,630,F,,,,,,,,3C,,,,,,,,,,,,,
3C-25-F2,631,,,631,F,,,,,,,,3C,,,,,,,,,,,,,
3C-25-F3,1953,,,1953,F,,,,,,,,3C,,,,,,,,,,,,,
3C-25-F4,633,,,633,F,,,,,,,,3C,,,,,,,,,,,,,
3C-25-M1,670,,,670,M,,,,,,,,3C,,,,,,,,,,,,,
3C-25-M2,671,,,671,M,,,,,,,,3C,,,,,,,,,,,,,
3C-25-M3,672,,,672,M,,,,,,,,3C,,,,,,,,,,,,,
3C-25-M4,673,,,673,M,,,,,,,,3C,,,,,,,,,,,,,
3C-25-M5,674,,,674,M,,,,,,,,3C,,,,,,,,,,,,,
3C-25-M6,675,,,675,M,,,,,,,,3C,,,,,,,,,,,,,
3C-25-M7,1951,,,1951,M,,,,,,,,3C,,,,,,,,,,,,,
3C-25-M8,1952,,,1952,M,,,,,,,,3C,,,,,,,,,,,,,
3C-25-M9,1930,,,1930,M,,,,,,,,3C,,,,,,,,,,,,,
3C-25-M10,1931,,,1931,M,,,,,,,,3C,,,,,,,,,,,,,
3C-25-M11,1932,,,1932,M,,,,,,,,3C,,,,,,,,,,,,,
1A-22-F1,418,,,418,F,,1A,,,,,,,,,,,,,,,,,,,
1A-22-F2,420,,,420,F,,1A,1A,1A,1A,,,,,,,,,,,,,,,,
1A-22-F3,421,,,421,F,,1A,,,,,,,,,,,,,,,,,,,
1A-22-F4,424,,,424,F,,1A,,,,,,,,,,,,,,,,,,,
1A-22-F5,727,,,727,F,,1A,,,,,,,,,,,,,,,,,,,
1A-22-F6,728,,,728,F,,1A,,,,,,,,,,,,,,,,,,,
1A-22-F7,729,,,729,F,,1A,,,,,,,,,,,,,,,,,,,
1A-22-F8,731,,,731,F,,1A,,,,,,,,,,,,,,,,,,,
1A-22-F9,732,,,732,F,,1A,,,,,,,,,,,,,,,,,,,
1A-22-F10,733,,,733,F,,1A,,,,,,,,,,,,,,,,,,,
1A-22-F11,736,,,736,F,,1A,,1A,,,,,,,,,,,,,,,,,
1A-22-F12,751,,,751,F,,1A,,,,,,,,,,,,,,,,,,,
1A-22-F13,754,,,754,F,,1A,,,,,,,,,,,,,,,,,,,
1A-22-F14,737,,,737,F,,1A,,,,,,,,,,,,,,,,,,,
1A-22-M1,416,,,416,M,,1A,,,,,,,,,,,,,,,,,,,
1A-22-M2,417,,,417,M,,1A,,,,,,,,,,,,,,,,,,,
1A-22-M3,419,,,419,M,,1A,,,,,,,,,,,,,,,,,,,
1A-22-M4,422,,,422,M,,1A,,,,,,,,,,,,,,,,,,,
1A-22-M5,423,,,423,M,,1A,,,,,,,,,,,,,,,,,,,
1A-22-M6,425,,,425,M,,1A,,,,,,,,,,,,,,,,,,,
1A-22-M7,750,,,750,M,,1A,,,,,,,,,,,,,,,,,,,
1A-22-M8,726,,,726,M,,1A,,,,,,,,,,,,,,,,,,,
1A-22-M9,730,,,730,M,,1A,,,,,,,,,,,,,,,,,,,
1A-22-M10,734,,,734,M,,1A,,,,,,,,,,,,,,,,,,,
1A-22-M11,735,,,735,M,,1A,,,,,,,,,,,,,,,,,,,
1A-22-M12,752,,,752,M,,1A,,1A,,,,,,,,,,,,,,,,,
1A-22-M13,753,,,753,M,,1A,,1A,,,,,,,,,,,,,,,,,
1A-22-M14,755,,,755,M,,1A,,,,,,,,,,,,,,,,,,,
1A-22-M15,989,,,989,M,,,1A,1A,1A,,,,,,,,,,,,,,,,
1A-22-U1,990,,,990,U,,,1A,1A,,1A,,,,,,,,,,,,,,,
1A-23-F1,1742,,,1742,F,,,,1A,1A,,,,,,,,,,,,,,,,
1A-23-F2,1026,,,1026,F,,,,1A,,,,,,,,,,,,,,,,,
1A-23-F3,1718,,,1718,F,,,,1A,,,,,,,,,,,,,,,,,
1A-23-F4,1743,,,1743,F,,,,1A,,,,,,,,,,,,,,,,,
1A-23-F5,1720,,,1720,F,,,,1A,,,,,,,,,,,,,,,,,
1A-23-F6,1086,,,1086,F,,,,1A,,,,,,,,,,,,,,,,,
1A-23-F7,1028,,,1028,F,,,,1A,,1C,,1C,Moved to 1C,,,,,,,,,,,,
1A-23-F8,1746,,,1746,F,,,,1A,,,,,,,,,,,,,,,,,
1A-23-F9,1087,,,1087,F,,,,1A,,,,,,,,,,,,,,,,,
1A-23-F10,1029,,,1029,F,,,,1A,,,,,,,,,,,,,,,,,
1A-23-F11,1722,,,1722,F,,,,1A,,,,,,,,,,,,,,,,,
1A-23-F12,1A-1,,,1A-1,F,,,,1A,,,,,,,,,,,,,,,,,
1A-23-F13,1A-2,,,1A-2,F,,,,1A,,,,,,,,,,,,,,,,,
1A-23-F14,1094,,,1094,F,,,,1A,,,,,,,,,,,,,,,,,
1A-23-F15,1032,,,1032,F,,,,1A,,,,,,,,,,,,,,,,,
1A-23-F16,1033,,,1033,F,,,,1A,,1B,,,Moved to 1B,,,,,,,,,,,,
1A-23-F17,553,,,553,F,,,,1A,,,,,,,,,,,,,,,,,
1A-23-F18,555,,,555,F,,,,1A,1A,,,1C,Moved to 1C,,,,,,,,,,,,
1A-23-F19,1038,,,1038,F,,,,1A,,,,1A,,,,,,,,,,,,,
1A-23-F20,562,,,562,F,,,,1A,,,,,,,,,,,,,,,,,
1A-23-M1,1084,,,1084,M,,,,1A,,1A,,,,,,,,,,,,,,,
1A-23-M2,1027,,,1027,M,,,,1A,,1A,1B,,Spot trapped at 1B,,,,,,,,,,,,
1A-23-M3,1719,1201,,1719 / 1201,M,,,,1A,,1A,,,,,,,,,,,,,,,
1A-23-M4,1085,,,1085,M,,,,1A,,,,,,,,,,,,,,,,,
1A-23-M5,1744,,,1744,M,,,,1A,,,,,,,,,,,,,,,,,
1A-23-M6,1745,,,1745,M,,,,1A,,,,,,,,,,,,,,,,,
1A-23-M6,1745,,,1745,M,,,,1A,,,,,,,,,,,,,,,,,
1A-23-M7,1747,,,1747,M,,,,1A,,,,,,,,,,,,,,,,,
1A-23-M8,1748,,,1748,M,,,,1A,,,,,,,,,,,,,,,,,
1A-23-M9,1749,,,1749,M,,,,1A,,,,,,,,,,,,,,,,,
1A-23-M10,1750,,,1750,M,,,,1A,,,,,,,,,,,,,,,,,
1A-23-M11,1030,,,1030,M,,,,1A,,1A,,,,,,,,,,,,,,,
1A-23-M12,1088,,,1088,M,,,,1A,,,,,,,,,,,,,,,,,
1A-23-M13,1721,,,1721,M,,,,1A,,,,,,,,,,,,,,,,,
1A-23-M14,551,,,551,M,,,,1A,,,,,,,,,,,,,,,,,
1A-23-M15,1089,,,1089,M,,,,1A,,,,,,,,,,,,,,,,,
1A-23-M16,1090,,,1090,M,,,,1A,,,,,,,,,,,,,,,,,
1A-23-M17,1031,,,1031,M,,,,1A,,,,,,,,,,,,,,,,,
1A-23-M18,1A-3,,,1A-3,M,,,,1A,,,,,,,,,,,,,,,,,
1A-23-M19,1A-4,,,1A-4,M,,,,1A,,,,,,,,,,,,,,,,,
1A-23-M20,581,,,581,M,,,,1A,,,,,,,,,,,,,,,,,
1A-23-M21,552,,,552,M,,,,1A,1A,,,,,,,,,,,,,,,,
1A-23-M22,554,,,554,M,,,,1A,,,,,,,,,,,,,,,,,
1A-23-M23,1A-5,,,1A-5,M,,,,1A,,,,,,,,,,,,,,,,,
1A-23-M24,1036,,,1036,M,,,,1A,,,,,,,,,,,,,,,,,
1A-23-M25,1037,,,1037,M,,,,1A,,,,,,,,,,,,,,,,,
1A-23-M26,561,,,561,M,,,,1A,,,,,,,,,,,,,,,,,
1A-23-M27,563,,,563,M,,,,1A,,,,,,,,,,,,,,,,,
1A-23-M28,564,,,564,M,,,,1A,,,,,,,,,,,,,,,,,
1A-24-F1,1223,,,1223,F,,,,,,1A,,,,,,,,,,,,,,,
1A-24-F2,1224,,,1224,F,,,,,,1A,,,,,,,,,,,,,,,
1A-24-F3,1759,,,1759,F,,,,,,1A,1A,1A,,,,,,,,,,,,,
1A-24-F4,1225,,,1225,F,,,,,,1A,,,,,,,,,,,,,,,
1A-24-F5,1776,,,1776,F,,,,,,1A,,,,,,,,,,,,,,,
1A-24-F6,1777,,,1777,F,,,,,,1A,,1A,,,,,,,,,,,,,
1A-24-F7,1762,,,1762,F,,,,,,1A,,,,,,,,,,,,,,,
1A-24-F8,1779,,,1779,F,,,,,,1A,,,,,,,,,,,,,,,
1A-24-F9,1764,,,1764,F,,,,,,1A,,,,,,,,,,,,,,,
1A-24-F10,1765,,,1765,F,,,,,,1A,,,,,,,,,,,,,,,
1A-24-F11,1780,,,1780,F,,,,,,1A,,,,,,,,,,,,,,,
1A-24-F12,1781,,,1781,F,,,,,,1A,,,,,,,,,,,,,,,
1A-24-F13,1782,,,1782,F,,,,,,1A,,,,,,,,,,,,,,,
1A-24-F14,1646,,,,F,,,,,,,1A,,,,,,,,,,,,,,
1A-24-F15,1612,,,1612,F,,,,,,,1A,1A,,,,,,,,,,,,,
1A-24-M1,1760,,,1760,M,,,,,,1A,,,,,,,,,,,,,,,
1A-24-M2,1778,,,1778,M,,,,,,1A,,,,,,,,,,,,,,,
1A-24-M3,1761,,,1761,M,,,,,,1A,,,,,,,,,,,,,,,
1A-24-M4,1763,,,1763,M,,,,,,1A,,,,,,,,,,,,,,,
1A-24-M5,1766,,,1766,M,,,,,,1A,,,,,,,,,,,,,,,
1A-24-M6,1767,,,1767,M,,,,,,1A,,,,,,,,,,,,,,,
1A-24-M7,1640,,,1640,M,,,,,,,1A,1A,,,,,,,,,,,,,
1A-24-U1,1A-24-U1,,,1A-24-U1,U,,,,,,1A,,,,,,,,,,,,,,,
1A-25-F1,1441,,,1441,F,,,,,,,,1A,,,,,,,,,,,,,
1A-25-F2,622,,,622,F,,,,,,,,1A,,,,,,,,,,,,,
1A-25-F3,1444,,,1444,F,,,,,,,,1A,,,,,,,,,,,,,
1A-25-F4,623,,,623,F,,,,,,,,1A,,,,,,,,,,,,,
1A-25-F5,1445,,,1445,F,,,,,,,,1A,,,,,,,,,,,,,
1A-25-F6,1447,,,1447,F,,,,,,,,1A,,,,,,,,,,,,,
1A-25-F7,1449,,,1449,F,,,,,,,,1A,,,,,,,,,,,,,
1A-25-F8,624,,,624,F,,,,,,,,1A,,,,,,,,,,,,,
1A-25-F9,679,,,679,F,,,,,,,,1A,,,,,,,,,,,,,
1A-25-F10,680,,,680,F,,,,,,,,1A,,,,,,,,,,,,,
1A-25-F11,658,,,658,F,,,,,,,,1A,,,,,,,,,,,,,
1A-25-F12,626,,,626,F,,,,,,,,1A,,,,,,,,,,,,,
1A-25-F13,1414,,,1414,F,,,,,,,,1A,,,,,,,,,,,,,
1A-25-M1,621,,,621,M,,,,,,,,1A,,,,,,,,,,,,,
1A-25-M2,1443,,,1443,M,,,,,,,,1A,,,,,,,,,,,,,
1A-25-M3,625,,,625,M,,,,,,,,1A,,,,,,,,,,,,,
1A-25-M4,676,,,676,M,,,,,,,,1A,,,,,,,,,,,,,
1A-25-M5,657,,,657,M,,,,,,,,1A,,,,,,,,,,,,,
1A-25-M6,681,,,681,M,,,,,,,,1A,,,,,,,,,,,,,
1A-25-M7,682,,,682,M,,,,,,,,1A,,,,,,,,,,,,,
1A-25-M8,659,,,659,M,,,,,,,,1A,,,,,,,,,,,,,
1A-25-M9,660,,,660,M,,,,,,,,1A,,,,,,,,,,,,,
1A-25-M10,685,,,685,M,,,,,,,,1A,,,,,,,,,,,,,
1B-22-F1,715,,,715,F,,1B,,,,,,,,,,,,,,,,,,,
