AnimalID 1,ET1,ET2,ET3,MRID,Sex,MR22f,MR22w,S22,MR23,S23,MR24,S24,MR25,Notes,,,,,,,,,,,,
2A-24-M3,1204,,,1204,M,,,,,,2A,,,,,,,,,,,,,,,
2A-24-M4,1207,,,1207,M,,,,,,2A,2A,,,,,,,,,,,,,,
2A-24-M5,1208,,,1208,M,,,,,,2A,,,,,,,,,,,,,,,
2A-24-M6,1261,,,1261,M,,,,,,2A,,,,,,,,,,,,,,,
2A-24-M7,1209,,,1209,M,,,,,,2A,2A,2A,,,,,,,,,,,,,
2A-24-M8,1262,,,1262,M,,,,,,2A,,,,,,,,,,,,,,,
2A-24-M9,1210,,,1210,M,,,,,,2A,,,,,,,,,,,,,,,
2A-24-M10,2A-Red O,,,2A-Red O,M,,,,,,2A,,,,,,,,,,,,,,,
2A-24-U1,2A-24-U1,,,2A-24-U1,U,,,,,,2A,,,,,,,,,,,,,,,
2A-25-F1,1699,,,1699,F,,,,,,,,2A,,,,,,,,,,,,,
2A-25-F2,1698,,,1698,F,,,,,,,,2A,,,,,,,,,,,,,
2A-25-F3,1680,,,1680,F,,,,,,,,2A,,,,,,,,,,,,,
2A-25-F4,1697,,,1697,F,,,,,,,,2A,,,,,,,,,,,,,
2A-25-F5,1450,,,1450,F,,,,,,,,2A,,,,,,,,,,,,,
2A-25-F6,1427,,,1427,F,,,,,,,,2A,,,,,,,,,,,,,
2A-25-F7,1683,,,1683,F,,,,,,,,2A,,,,,,,,,,,,,
2A-25-F8,1685,,,1685,F,,,,,,,,2A,,,,,,,,,,,,,
2A-25-F9,1429,,,1429,F,,,,,,,,2A,,,,,,,,,,,,,
2A-25-M1,1681,,,1681,M,,,,,,,,2A,,,,,,,,,,,,,
2A-25-M2,1426,,,1426,M,,,,,,,,2A,,,,,,,,,,,,,
2A-25-M3,1696,,,1696,M,,,,,,,,2A,,,,,,,,,,,,,
2A-25-M4,1430,,,1430,M,,,,,,,,2A,,,,,,,,,,,,,
2A-25-U1,1695,,,1695,U,,,,,,,,2A,,,,,,,,,,,,,
2A-25-U2,2A-25-U2,,,2A-25-U2,U,,,,,,,,2A,,,,,,,,,,,,,
2B-22-F1,1851,,,1851,F,2B,,2B,2B,,,,,,,,,,,,,,,,,
2B-22-F2,85,,,85,F,2B,,,2B,2B,2B,,,,,,,,,,,,,,,
2B-22-F3,1879,,,1879,F,2B,,,,,,,,,,,,,,,,,,,,
2B-22-F4,1861,,,1861,F,2B,,,,,,,,,,,,,,,,,,,,
